Trade Num,EntryDate,ExitDate,Direction,EntryPrice,ExitPrice,GrossReturn,TransactionCost,NetReturn,DurationDays
15,2016-07-28,2016-08-03,Short,23.480070114135742,23.82902717590332,-0.014861840704534139,0.00014861840704534138,-0.01501045911157948,6
16,2016-09-12,2016-09-13,Long,23.648550033569336,24.17824935913086,0.022398807741261528,0.00022398807741261527,0.02217481966384891,1
17,2016-10-17,2016-10-18,Short,26.973514556884766,26.955175399780273,0.0006798949786768247,6.798949786768247e-06,0.0006730960288900565,1
18,2016-11-02,2016-11-08,Long,25.56555938720703,25.447898864746094,-0.004602305808329571,4.602305808329571e-05,-0.004648328866412867,6
19,2017-02-02,2017-02-09,Short,29.674999237060547,30.43329429626465,-0.025553330368988894,0.00025553330368988895,-0.025808863672678782,7
20,2017-03-30,2017-04-03,Short,33.361576080322266,33.25509262084961,0.0031917994286685884,3.191799428668588e-05,0.0031598814343819026,4
21,2017-05-03,2017-05-04,Short,34.14632034301758,34.04214096069336,0.003050969512312969,3.0509695123129693e-05,0.0030204598171898393,1
22,2017-05-08,2017-05-11,Short,34.481971740722656,35.47734832763672,-0.02886657974197394,0.0002886657974197394,-0.02915524553939368,3
23,2017-06-13,2017-06-20,Long,33.801448822021484,34.01530075073242,0.006326708947801491,6.326708947801491e-05,0.006263441858323476,7
24,2017-07-19,2017-07-21,Short,34.884620666503906,34.9450569152832,-0.0017324611139408936,1.7324611139408938e-05,-0.0017497857250803027,2
25,2017-08-03,2017-08-04,Short,36.525638580322266,36.16071701049805,0.009990833398346544,9.990833398346544e-05,0.00989092506436308,1
26,2017-08-10,2017-08-11,Short,37.436824798583984,36.24439239501953,0.03185185736183363,0.0003185185736183363,0.03153333878821529,1
27,2017-09-21,2017-09-27,Long,36.41938781738281,35.73567199707031,-0.018773402335614368,0.00018773402335614368,-0.018961136358970513,6
28,2017-10-17,2017-10-19,Short,37.308475494384766,37.28047561645508,0.0007504964370335023,7.504964370335023e-06,0.0007429914726631673,2
29,2017-10-31,2017-11-02,Short,38.90460968017578,38.944271087646484,-0.0010194526509004658,1.0194526509004658e-05,-0.0010296471774094704,2
30,2017-11-06,2017-11-08,Short,40.25339126586914,40.79244613647461,-0.0133915392878347,0.000133915392878347,-0.013525454680713046,2
31,2018-01-18,2018-01-19,Short,41.94377899169922,41.981224060058594,-0.0008927442700569606,8.927442700569606e-06,-0.0009016717127575302,1
32,2018-02-05,2018-02-07,Long,37.587791442871094,38.180294036865234,0.01576316594431128,0.0001576316594431128,0.015605534284868168,2
33,2018-03-26,2018-03-27,Long,38.785091400146484,40.62629699707031,0.04747199324421018,0.0004747199324421018,0.046997273311768076,1
34,2018-06-06,2018-06-08,Short,45.6314811706543,45.666908264160156,-0.0007763739549318556,7.763739549318556e-06,-0.0007841376944811741,2
35,2018-06-26,2018-06-27,Long,43.00185775756836,43.535335540771484,0.012405924093110431,0.00012405924093110432,0.012281864852179327,1
36,2018-08-02,2018-08-08,Short,47.56475830078125,48.88902282714844,-0.027841296238552242,0.0002784129623855224,-0.028119709200937766,6
37,2018-08-30,2018-09-05,Short,52.81977844238281,54.09421157836914,-0.02412795308061568,0.00024127953080615682,-0.024369232611421838,6
38,2018-11-15,2018-11-16,Long,44.403839111328125,45.49964904785156,0.024678270132815587,0.0002467827013281559,0.02443148743148743,1
39,2018-11-21,2018-11-23,Long,42.06953048706055,42.02198791503906,-0.0011300951418059487,1.1300951418059488e-05,-0.0011413960932240082,2
40,2018-12-21,2018-12-27,Long,37.27971267700195,37.360530853271484,0.00216788624337731,2.16788624337731e-05,0.002146207380943537,6
41,2019-01-04,2019-01-07,Long,33.79966735839844,35.24256134033203,0.04268959119134845,0.0004268959119134845,0.042262695279434964,3
42,2019-02-04,2019-02-07,Short,39.583099365234375,41.418212890625,-0.04636103677627618,0.0004636103677627618,-0.04682464714403894,3
43,2019-03-13,2019-03-20,Short,43.18815231323242,44.52980422973633,-0.031065277041102714,0.00031065277041102715,-0.03137592981151374,7
44,2019-03-22,2019-03-25,Short,46.57331848144531,45.60886001586914,0.020708390491014927,0.00020708390491014928,0.020501306586104776,3
45,2019-05-14,2019-05-16,Long,44.50717544555664,45.753326416015625,0.027998877888428066,0.00027998877888428064,0.027718889109543784,2
46,2019-08-01,2019-08-02,Short,51.054317474365234,49.94953918457031,0.021639272532624484,0.00021639272532624485,0.021422879807298238,1
47,2019-10-14,2019-10-16,Short,56.8220100402832,56.60791015625,0.0037679040900070217,3.767904090007022e-05,0.0037302250491069514,2
48,2019-11-04,2019-11-05,Short,61.53934097290039,61.943485260009766,-0.006567250814196157,6.567250814196156e-05,-0.006632923322338119,1
49,2020-01-03,2020-01-06,Short,72.46827697753906,71.76371765136719,0.009722313756545465,9.722313756545465e-05,0.00962509061898001,3
50,2020-01-14,2020-01-15,Short,76.47592163085938,75.4432373046875,0.013503391710093087,0.00013503391710093088,0.013368357792992155,1
51,2020-02-26,2020-03-03,Long,69.67272186279297,72.26778411865234,0.037246460113469534,0.00037246460113469533,0.03687399551233484,6
52,2020-05-11,2020-05-13,Short,75.2085952758789,75.5190200805664,-0.004127517653385294,4.127517653385294e-05,-0.004168792829919147,2
53,2020-06-08,2020-06-12,Short,80.3909683227539,81.4580078125,-0.01327312647189595,0.0001327312647189595,-0.01340585773661491,4
54,2020-08-06,2020-08-10,Short,106.76356506347656,107.9764404296875,-0.011360386527836714,0.00011360386527836714,-0.01147399039311508,4
55,2020-09-02,2020-09-03,Short,130.39283752441406,127.69131469726562,0.020718337589996985,0.00020718337589996987,0.020511154214097015,1
56,2020-11-02,2020-11-03,Long,105.78750610351562,105.7000503540039,-0.0008267115156882628,8.267115156882628e-06,-0.0008349786308451454,1
57,2020-12-16,2020-12-17,Short,124.48506164550781,124.41694641113281,0.0005471759701494916,5.4717597014949155e-06,0.0005417042104479967,1
58,2020-12-29,2020-12-30,Short,133.0612030029297,131.2895050048828,0.01331491041763591,0.0001331491041763591,0.01318176131345955,1
59,2021-02-23,2021-02-24,Long,122.83826446533203,122.7017822265625,-0.0011110726723760403,1.1110726723760403e-05,-0.0011221833990998006,1
60,2021-02-26,2021-03-01,Long,117.9539794921875,118.21723937988281,0.002231886442735483,2.231886442735483e-05,0.0022095675783081283,3
61,2021-04-09,2021-04-13,Short,127.0888671875,127.94681549072266,-0.006750774652486956,6.750774652486957e-05,-0.0068182823990118255,4
62,2021-04-14,2021-04-15,Short,131.05673217773438,128.7169647216797,0.0178530886370765,0.000178530886370765,0.017674557750705734,1
63,2021-05-13,2021-05-14,Long,119.89261627197266,122.04104614257812,0.017919617883154895,0.00017919617883154894,0.017740421704323345,1
64,2021-06-18,2021-06-21,Short,128.7012176513672,127.40241241455078,0.010091631303245942,0.00010091631303245943,0.009990714990213484,3
65,2021-06-23,2021-06-24,Short,130.83990478515625,130.56642150878906,0.002090213049422932,2.090213049422932e-05,0.0020693109189287026,1
66,2021-07-07,2021-07-09,Short,138.6914825439453,139.8828887939453,-0.008590334663287597,8.590334663287596e-05,-0.008676238009920472,2
67,2021-09-21,2021-09-22,Long,139.79905700683594,140.2782745361328,0.0034279024448172213,3.4279024448172214e-05,0.003393623420369049,1
68,2021-11-19,2021-11-26,Short,154.6262969970703,158.61270141601562,-0.0257808955938513,0.000257808955938513,-0.026038704549789814,7
69,2021-12-09,2021-12-10,Short,171.48269653320312,170.973388671875,0.0029700247991464894,2.9700247991464895e-05,0.0029403245511550246,1
70,2021-12-13,2021-12-14,Short,175.76292419433594,172.12911987304688,0.020674464412479113,0.00020674464412479113,0.020467719768354323,1
71,2022-01-20,2022-01-25,Long,162.8145294189453,158.2992706298828,-0.027732529800482894,0.00027732529800482896,-0.02800985509848772,5
72,2022-04-27,2022-04-28,Long,153.7739715576172,153.5484161376953,-0.0014667984291305254,1.4667984291305254e-05,-0.0014814664134218307,1
73,2022-07-22,2022-07-25,Short,152.5758056640625,151.33828735351562,0.008110842378716395,8.110842378716395e-05,0.008029733954929232,3
74,2022-08-01,2022-08-02,Short,159.60792541503906,158.62579345703125,0.006153403444433663,6.153403444433662e-05,0.006091869409989326,1
75,2022-08-04,2022-08-05,Short,163.1632843017578,162.84901428222656,0.0019261074626938253,1.9261074626938253e-05,0.001906846388066887,1
76,2022-10-03,2022-10-04,Long,135.92059326171875,140.1005096435547,0.03075263491373523,0.0003075263491373523,0.030445108564597877,1
77,2023-01-24,2023-01-26,Short,139.0128173828125,139.75169372558594,-0.0053151670233308424,5.315167023330843e-05,-0.005368318693564151,2
78,2023-02-06,2023-02-07,Short,152.20382690429688,149.4749755859375,0.017928927109534698,0.00017928927109534697,0.01774963783843935,1
79,2023-03-22,2023-03-23,Short,157.15235900878906,155.72171020507812,0.009103578290103337,9.103578290103336e-05,0.009012542507202303,1
80,2023-04-03,2023-04-04,Short,162.6973114013672,163.9503173828125,-0.007701454748408235,7.701454748408235e-05,-0.007778469295892317,1
81,2023-06-05,2023-06-06,Short,178.7798309326172,177.42628479003906,0.0075710226120992465,7.571022612099246e-05,0.007495312385978254,1
82,2023-07-03,2023-07-05,Short,191.64369201660156,190.1517791748047,0.007784826237159086,7.784826237159086e-05,0.007706977974787495,2
83,2023-08-07,2023-08-11,Long,179.80735778808594,175.8355712890625,-0.022089121089830112,0.00022089121089830113,-0.02231001230072841,4
84,2023-10-27,2023-10-30,Long,165.1111297607422,166.42694091796875,0.00796924567794592,7.96924567794592e-05,0.00788955322116646,3
85,2023-11-13,2023-11-14,Short,184.65611267089844,183.07110595703125,0.008583559411824348,8.583559411824349e-05,0.008497723817706105,1
86,2024-01-04,2024-01-09,Long,182.5262451171875,183.823974609375,0.007109824076829705,7.109824076829705e-05,0.007038725836061408,5
87,2024-03-05,2024-03-11,Long,173.6831817626953,169.34852600097656,-0.024957256757543882,0.00024957256757543884,-0.02520682932511932,6
88,2024-06-12,2024-06-17,Short,205.75253295898438,211.0565185546875,-0.025778470473364453,0.00025778470473364454,-0.026036255178098097,5
89,2024-06-18,2024-06-20,Short,215.2083282470703,212.8443603515625,0.010984555824409615,0.00010984555824409615,0.01087471026616552,2
90,2024-07-11,2024-07-12,Short,231.40826416015625,226.0347900390625,0.02322075290005547,0.00023220752900055469,0.022988545371054915,1
91,2024-08-06,2024-08-08,Long,207.85826110839844,208.40452575683594,0.0026280632077097096,2.6280632077097096e-05,0.0026017825756326123,2
92,2024-11-05,2024-11-06,Long,220.76751708984375,222.199462890625,0.006486215996162624,6.486215996162624e-05,0.006421353836200998,1
93,2024-11-27,2024-12-06,Short,234.0016632080078,241.9457244873047,-0.03394873852770556,0.0003394873852770556,-0.03428822591298261,9
94,2025-01-14,2025-01-15,Long,233.34463500976562,232.2296905517578,-0.004778101960480691,4.7781019604806916e-05,-0.004825882980085498,1
95,2025-01-17,2025-01-21,Long,227.23228454589844,228.9445343017578,0.007535239806619641,7.535239806619641e-05,0.007459887408553445,4
96,2025-03-11,2025-03-17,Long,226.70477294921875,212.762451171875,-0.06149990402040098,0.0006149990402040098,-0.06211490306060499,6
97,2025-04-08,2025-04-10,Long,180.84161376953125,198.17234802246094,0.09583377349759982,0.0009583377349759982,0.09487543576262382,2
98,2025-07-03,2025-07-08,Short,211.99366760253906,209.50889587402344,0.011720971463988506,0.00011720971463988507,0.01160376174934862,5
99,2025-08-14,2025-08-15,Short,233.10403442382812,232.5545654296875,0.002357183544672523,2.357183544672523e-05,0.0023336117092257976,1
100,2025-09-23,2025-09-25,Short,255.8319854736328,252.06564331054688,0.014721936180548907,0.00014721936180548908,0.014574716818743418,2
